category,entity,record_count,avg_confidence,sources
Condition,infection,27,0.9371296296296295,"{'pmc': np.int64(26), 'trec-ct': np.int64(1)}"
Condition,diabetes,24,0.902975,"{'pmc': np.int64(20), 'trec-ct': np.int64(3), 'trec-cds': np.int64(1)}"
Condition,pneumonia,23,0.9724086956521739,"{'pmc': np.int64(21), 'trec-cds': np.int64(2)}"
Condition,adenocarcinoma,19,0.9701105263157894,"{'pmc': np.int64(17), 'trec-ct': np.int64(2)}"
Condition,carcinoma,19,0.9322789473684211,{'pmc': np.int64(19)}
Condition,fracture,13,0.8956384615384615,"{'pmc': np.int64(11), 'trec-cds': np.int64(1), 'usmle': np.int64(1)}"
Condition,thrombosis,9,0.9548222222222221,"{'pmc': np.int64(7), 'trec-ct': np.int64(1), 'trec-cds': np.int64(1)}"
Condition,coronary artery disease,9,0.9457777777777778,"{'trec-cds': np.int64(5), 'trec-ct': np.int64(3), 'pmc': np.int64(1)}"
Condition,hiv,9,0.9329555555555555,{'pmc': np.int64(9)}
Condition,hepatitis,9,0.9099666666666667,{'pmc': np.int64(9)}
Condition,heart failure,8,0.971325,"{'pmc': np.int64(6), 'trec-ct': np.int64(1), 'trec-cds': np.int64(1)}"
Condition,atrial fibrillation,8,0.9345375,"{'pmc': np.int64(4), 'trec-cds': np.int64(3), 'trec-ct': np.int64(1)}"
Condition,tuberculosis,8,0.9146875,{'pmc': np.int64(8)}
Condition,copd,7,0.9843000000000001,"{'pmc': np.int64(3), 'trec-ct': np.int64(3), 'trec-cds': np.int64(1)}"
Condition,abscess,7,0.8587285714285714,"{'pmc': np.int64(6), 'trec-ct': np.int64(1)}"
Condition,respiratory failure,6,0.9997000000000001,"{'pmc': np.int64(5), 'trec-ct': np.int64(1)}"
Condition,cardiomyopathy,6,0.9853833333333334,"{'pmc': np.int64(4), 'trec-ct': np.int64(1), 'trec-cds': np.int64(1)}"
Condition,cancer,6,0.9704833333333333,"{'pmc': np.int64(5), 'usmle': np.int64(1)}"
Condition,hepatitis b,6,0.9567666666666667,{'pmc': np.int64(6)}
Condition,renal failure,5,0.99176,"{'pmc': np.int64(4), 'trec-ct': np.int64(1)}"
Condition,lymphoma,5,0.9698399999999999,"{'pmc': np.int64(4), 'trec-ct': np.int64(1)}"
Condition,lupus erythematosus,5,0.96484,"{'pmc': np.int64(4), 'trec-ct': np.int64(1)}"
Condition,stroke,5,0.9521000000000001,"{'pmc': np.int64(3), 'trec-ct': np.int64(2)}"
Condition,injury,5,0.94574,"{'pmc': np.int64(4), 'trec-cds': np.int64(1)}"
Condition,lupus,5,0.90478,{'pmc': np.int64(5)}
Condition,blood loss,5,0.8983399999999999,{'pmc': np.int64(5)}
Condition,arthritis,5,0.893,"{'pmc': np.int64(4), 'trec-ct': np.int64(1)}"
Condition,kidney disease,5,0.8783799999999999,"{'pmc': np.int64(3), 'trec-ct': np.int64(1), 'trec-cds': np.int64(1)}"
Condition,effusion,5,0.86486,"{'pmc': np.int64(4), 'trec-ct': np.int64(1)}"
Condition,kidney injury,4,0.9956,{'pmc': np.int64(4)}
Condition,type 2 diabetes,4,0.975125,{'pmc': np.int64(4)}
Condition,inflammation,4,0.958375,{'pmc': np.int64(4)}
Condition,regurgitation,4,0.953925,"{'trec-ct': np.int64(2), 'pmc': np.int64(2)}"
Condition,respiratory distress syndrome,4,0.951725,{'pmc': np.int64(4)}
Condition,malaria,4,0.95055,"{'pmc': np.int64(3), 'trec-cds': np.int64(1)}"
Condition,end-stage renal disease,4,0.9246,"{'pmc': np.int64(3), 'trec-ct': np.int64(1)}"
Condition,pulmonary tuberculosis,4,0.922625,{'pmc': np.int64(4)}
Condition,obstructive pulmonary disease,4,0.916025,"{'trec-ct': np.int64(2), 'trec-cds': np.int64(2)}"
Condition,paralysis,4,0.88385,{'pmc': np.int64(4)}
Condition,colon cancer,4,0.845075,"{'pmc': np.int64(2), 'trec-cds': np.int64(1), 'trec-ct': np.int64(1)}"
Condition,trauma,4,0.843675,{'pmc': np.int64(4)}
Condition,respiratory,4,0.831975,{'pmc': np.int64(4)}
Condition,deep,4,0.81555,{'pmc': np.int64(4)}
Condition,thyroid,4,0.7861,"{'pmc': np.int64(2), 'trec-ct': np.int64(1), 'usmle': np.int64(1)}"
Condition,cholecystitis,3,0.9985666666666667,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,gastritis,3,0.9976666666666666,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,infarct,3,0.9957666666666668,{'pmc': np.int64(3)}
Condition,acute myeloid leukemia,3,0.9861333333333334,{'pmc': np.int64(3)}
Condition,multiple,3,0.9829666666666667,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,staphylococcus aureus,3,0.9812333333333333,{'pmc': np.int64(3)}
Condition,deep vein thrombosis,3,0.9804333333333334,{'pmc': np.int64(3)}
Condition,parkinson's disease,3,0.9697666666666667,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,astrocytoma,3,0.9688333333333334,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,adenoma,3,0.9682333333333334,{'pmc': np.int64(3)}
Condition,granulomatosis,3,0.9681000000000001,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,glaucoma,3,0.9634,{'pmc': np.int64(3)}
Condition,cellulitis,3,0.9617666666666667,{'pmc': np.int64(3)}
Condition,prostate cancer,3,0.9603999999999999,{'pmc': np.int64(3)}
Condition,lymphadenopathy,3,0.9554666666666667,{'pmc': np.int64(3)}
Condition,mitral regurgitation,3,0.9544333333333332,{'pmc': np.int64(3)}
Condition,pancreatitis,3,0.9495333333333335,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,urinary tract infection,3,0.9494666666666666,"{'pmc': np.int64(2), 'usmle': np.int64(1)}"
Condition,malformation,3,0.9466666666666667,{'pmc': np.int64(3)}
Condition,patent ductus arteriosus,3,0.9425,{'pmc': np.int64(3)}
Condition,human immunodeficiency virus,3,0.9409333333333333,{'pmc': np.int64(3)}
Condition,thyroiditis,3,0.9387333333333334,{'pmc': np.int64(3)}
Condition,appendicitis,3,0.9380666666666667,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,immunodeficiency virus,3,0.9358666666666666,{'pmc': np.int64(3)}
Condition,dissection,3,0.9333666666666667,{'pmc': np.int64(3)}
Condition,hernia,3,0.9305666666666667,{'pmc': np.int64(3)}
Condition,hemangioma,3,0.9287666666666666,{'pmc': np.int64(3)}
Condition,ventricular septal defect,3,0.9260666666666667,{'pmc': np.int64(3)}
Condition,cataract,3,0.9204333333333333,{'pmc': np.int64(3)}
Condition,reflux disease,3,0.8906000000000001,{'pmc': np.int64(3)}
Condition,sarcoma,3,0.8905333333333333,{'pmc': np.int64(3)}
Condition,infarction,3,0.8901666666666667,{'pmc': np.int64(3)}
Condition,thrombus,3,0.8849666666666667,{'pmc': np.int64(3)}
Condition,leukemia,3,0.8844666666666666,{'pmc': np.int64(3)}
Condition,schizophrenia,3,0.8547333333333333,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,fibrosis,3,0.8422666666666667,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,type,3,0.8266666666666667,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,dysfunction,3,0.8256333333333333,{'pmc': np.int64(3)}
Condition,uveitis,3,0.7747666666666667,{'pmc': np.int64(3)}
Condition,fistula,3,0.7445333333333334,{'pmc': np.int64(3)}
Condition,defect,3,0.7398333333333333,"{'pmc': np.int64(2), 'trec-ct': np.int64(1)}"
Condition,paget's disease,2,0.99895,{'trec-ct': np.int64(2)}
Condition,atrial septal defect,2,0.9984999999999999,{'pmc': np.int64(2)}
Condition,thyroid cancer,2,0.9982,"{'trec-ct': np.int64(1), 'pmc': np.int64(1)}"
Condition,cell carcinoma,2,0.9979,{'pmc': np.int64(2)}
Condition,telangiectasia,2,0.996,{'pmc': np.int64(2)}
Condition,pleural effusion,2,0.9958,"{'pmc': np.int64(1), 'trec-ct': np.int64(1)}"
Condition,hepatitis c,2,0.9956,"{'pmc': np.int64(1), 'trec-ct': np.int64(1)}"
Condition,acute respiratory distress syndrome,2,0.9951000000000001,{'pmc': np.int64(2)}
Condition,endophthalmitis,2,0.99355,{'pmc': np.int64(2)}
Condition,osteomyelitis,2,0.99305,{'pmc': np.int64(2)}
Condition,influenza,2,0.99275,{'pmc': np.int64(2)}
Condition,cardiac arrest,2,0.9903500000000001,{'pmc': np.int64(2)}
Condition,alopecia,2,0.98815,{'pmc': np.int64(2)}
Condition,malt lymphoma,2,0.98605,{'pmc': np.int64(2)}
Condition,atelectasis,2,0.98465,{'pmc': np.int64(2)}
Condition,colitis,2,0.9817499999999999,{'pmc': np.int64(2)}
Condition,polyangiitis,2,0.98095,{'pmc': np.int64(2)}
Condition,renal cell carcinoma,2,0.9799500000000001,{'pmc': np.int64(2)}
Condition,cerebral infarction,2,0.9746999999999999,{'pmc': np.int64(2)}
Condition,kidney,2,0.9742999999999999,{'pmc': np.int64(2)}
Condition,epilepsy,2,0.9720500000000001,"{'trec-ct': np.int64(1), 'pmc': np.int64(1)}"
Condition,hydrocephalus,2,0.9713,{'pmc': np.int64(2)}
Condition,antiphospholipid syndrome,2,0.96865,{'pmc': np.int64(2)}
Condition,granuloma,2,0.9621,{'pmc': np.int64(2)}
Condition,esrd,2,0.96155,{'pmc': np.int64(2)}
Condition,sepsis,2,0.9615,{'pmc': np.int64(2)}
Condition,ischemia,2,0.96045,{'pmc': np.int64(2)}
Condition,myocardial infarction,2,0.95945,"{'trec-cds': np.int64(1), 'pmc': np.int64(1)}"
Condition,inflammatory,2,0.9576,{'pmc': np.int64(2)}
Condition,retinopathy,2,0.95505,{'pmc': np.int64(2)}
Condition,obesity,2,0.9466,"{'trec-ct': np.int64(1), 'pmc': np.int64(1)}"
Condition,type 1 diabetes,2,0.9444,"{'pmc': np.int64(1), 'trec-ct': np.int64(1)}"
Condition,meningioma,2,0.9418500000000001,{'pmc': np.int64(2)}
Condition,aneurysm,2,0.9411499999999999,{'pmc': np.int64(2)}
Condition,inflammatory bowel disease,2,0.9406,{'pmc': np.int64(2)}
Condition,angiosarcoma,2,0.94005,{'pmc': np.int64(2)}
Condition,iron deficiency,2,0.9390000000000001,{'pmc': np.int64(2)}
Condition,sickle cell disease,2,0.93045,"{'pmc': np.int64(1), 'trec-ct': np.int64(1)}"
Condition,pulmonary stenosis,2,0.9301,{'pmc': np.int64(2)}
Condition,sclerosis,2,0.9293,{'pmc': np.int64(2)}
Condition,celiac,2,0.92605,{'pmc': np.int64(2)}
Condition,thymoma,2,0.9256,{'pmc': np.int64(2)}
Condition,organ failure,2,0.92435,{'pmc': np.int64(2)}
Condition,bacterial,2,0.92365,{'pmc': np.int64(2)}
Condition,myositis,2,0.923,{'pmc': np.int64(2)}
Condition,vascular,2,0.91945,{'pmc': np.int64(2)}
Condition,teratoma,2,0.9186,{'pmc': np.int64(2)}
Condition,metabolic acidosis,2,0.91305,{'pmc': np.int64(2)}
Condition,viral,2,0.9124,"{'trec-ct': np.int64(1), 'pmc': np.int64(1)}"
Condition,enterococcus,2,0.9031,"{'pmc': np.int64(1), 'trec-ct': np.int64(1)}"
Condition,renal disease,2,0.898,{'pmc': np.int64(2)}
Condition,sinusitis,2,0.8938,{'pmc': np.int64(2)}
Condition,obstruction,2,0.8913500000000001,{'pmc': np.int64(2)}
Condition,gastroenteritis,2,0.8797,{'pmc': np.int64(2)}
Condition,coagulopathy,2,0.8793,{'pmc': np.int64(2)}
Condition,complication,2,0.87555,{'pmc': np.int64(2)}
Condition,thrombocytopenic purpura,2,0.86775,{'pmc': np.int64(2)}
Condition,bcva,2,0.8676999999999999,{'pmc': np.int64(2)}
